codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
69004,Alix,200040574,0,6,32,626,0.0,0.0
69005,Ambérieux,200040574,0,6,21,512,100.0,100.0
69006,Amplepuis,200040566,1,49,238,4539,95.59,97.96
69007,Ampuis,200077014,0,18,102,2547,0.0,0.0
69008,Ancy,200040566,0,6,70,624,1.6,0.0
69009,Anse,200040574,1,45,130,7492,99.95,100.0
69010,L'Arbresle,246900625,1,58,52,5193,100.0,100.0
69012,Les Ardillats,200067817,0,1,104,504,0.0,0.0
69013,Arnas,200040590,0,35,138,2864,5.88,40.0
69014,Aveize,200066587,0,11,112,949,,
69016,Azolette,200067817,0,1,20,79,0.0,0.0
69017,Bagnols,200040574,0,9,66,672,87.2,100.0
69018,Beaujeu,200067817,0,28,110,1666,0.0,0.0
69019,Belleville-en-Beaujolais,200067817,1,92,232,13033,98.94,100.0
69020,Belmont-d'Azergues,200040574,0,5,19,598,100.0,100.0
69021,Bessenay,246900625,0,23,140,2107,0.0,0.0
69022,Bibost,246900625,0,4,38,501,0.0,0.0
69023,Blacé,200040590,0,16,103,1326,0.0,0.0
69024,Val d'Oingt,200040574,0,41,202,4209,64.27,80.49
69026,Le Breuil,200040574,0,1,34,428,100.0,100.0
69027,Brignais,246900757,1,77,156,11952,100.0,100.0
69028,Brindas,246900724,0,35,179,6475,,
69029,Bron,200046977,0,219,146,33321,14.96,10.5
69030,Brullioles,200066587,0,9,82,778,,
69031,Brussieu,200066587,0,8,51,1226,,
69032,Bully,246900625,0,14,134,1992,11.85,7.14
69033,Cailloux-sur-Fontaines,200046977,0,10,43,2222,40.47,20.0
69034,Caluire-et-Cuire,200046977,0,148,194,38015,33.29,33.78
69035,Cenves,200067817,0,3,59,342,0.0,0.0
69036,Cercié,200067817,0,11,43,814,0.0,0.0
69037,Chambost-Allières,200040566,0,6,64,742,0.0,0.0
69038,Chambost-Longessaigne,200066587,0,7,131,906,,
69039,Chamelet,200040574,1,6,65,662,100.0,100.0
