code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
245501267,105.4,30,
245000716,161.2,33,
246300982,1654.5,165,
200023299,359.7,69,39.6
243200540,3139.1,211,
200042927,6891.4,188,
200039576,134.9,51,
200036465,7197.3,260,191.4
245701412,2142.8,127,
247104052,1800.3,99,
248400335,2053.6,342,122.9
241927268,15322.3,2,
248800013,258.3,86,
200036382,798.5,81,
245501374,72.9,24,
200038990,3587.4,325,132.5
244000774,9902.1,136,1582.6
248900565,285.5,71,
245614425,1573.2,58,
244300307,1720.2,107,215.3
200007433,727.5,66,
248700130,679.9,92,
244500443,440.8,41,
243400355,6682.4,264,232.8
248500191,287.6,59,31.2
248200107,16397.0,95,2108.9
247400682,281.0,106,21.8
244200606,1358.6,206,
200043990,2891.3,449,64.8
246300842,315.8,48,
245804414,513.4,26,
247600562,300.5,44,
200042349,829.7,211,
240500223,244.4,25,
245000468,555.6,75,
247100589,1814.3,401,15.9
200035459,25591.4,831,264.9
241600352,1919.8,84,
243400769,38017.2,68,292.7
245000682,437.2,50,
246300701,11963.8,1216,40.4
200042174,5472.4,836,26.5
247600380,6526.5,57,
245400759,981.4,79,168.3
200017408,7533.6,176,
200035954,621.5,86,
242900710,2045.2,91,110.4
200030518,12848.3,101,
241600493,893.7,85,
243400389,2673.6,78,
248200198,6242.5,156,
200033181,133.2,36,1.0
241400746,426.2,82,
241000397,1363.2,189,
241501139,5752.9,111,684.1
243800935,1075.2,239,36.3
245100615,459.8,99,32.2
246301154,325.1,87,
247103765,591.6,72,53.4
200035632,2587.9,146,390.9
241200542,7643.1,42,1462.0
243901055,685.7,80,
240900506,673.3,36,
242101350,549.9,78,
200040277,2964.6,602,25.7
245900428,1500.3,356,7.8
240900530,13863.6,50,
243200391,17100.1,268,889.1
248400236,17654.0,47,392.8
246100671,141.8,30,
245400866,615.3,81,
247000367,77.0,27,10.2
200049187,376.7,102,13.8
243200409,3311.8,150,382.1
248400319,3690.9,20,109.4
200041440,280.8,57,33.0
243400488,17376.4,353,599.7
242700615,548.1,51,
241800523,224.5,53,
241600568,8220.9,225,
240200618,430.9,119,
200023372,0.0,0,0.0
200023489,520.9,64,
200023307,8602.5,434,181.1
246200919,260.4,40,
242852531,1905.8,65,
246001143,0.0,0,
200006781,2046.9,33,
243900354,133.5,47,18.5
240900266,423.3,54,
200043495,438.5,78,10.5
248719312,5505.8,816,26.6
200039808,5150.9,212,331.1
240900522,2274.7,98,
245614383,2344.1,183,96.9
248800450,0.0,0,
200040491,27076.0,1104,566.3
200035319,6825.1,19,57.6
200006393,361.5,51,
242500320,381.3,118,46.7
247700495,192.6,59,
200040509,2000.0,190,124.2
243500618,682.4,8,35.9
200041366,4917.7,289,142.0
242700573,872.7,191,
244800496,133.9,1,
241800424,2469.7,81,343.0
240900373,0.0,0,
245701305,1555.6,42,
200027217,684.2,66,42.4
240100677,381.6,93,
242700581,335.2,57,
241000223,221.1,25,32.3
244000592,5457.0,119,
248900896,576.1,143,23.7
240100636,380.9,124,
243301462,888.0,85,
200043172,10934.6,606,101.1
245600424,587.4,76,
245400262,703.4,259,11.1
200000636,72.5,1,
248000747,824.4,130,29.3
241927359,4430.5,85,
200022846,877.4,88,
200036614,1824.6,421,
200043008,4773.4,287,
240300426,1756.4,369,
200040087,605.6,123,
246200877,277.8,72,
240200501,261.4,63,12.9
243100765,942.1,55,
242101459,1189.0,58,161.3
200034361,2331.3,477,
244900759,418.3,90,
243100633,4246.8,664,51.4
200041465,1387.5,147,112.4
246800395,874.8,60,94.2
246100598,687.2,62,
244400446,10839.3,635,
248300501,36538.3,529,
200043404,300.6,121,12.3
243300738,1803.5,164,
244301016,2069.2,187,113.5
200016905,1267.4,103,189.6
242700524,213.1,26,
242700441,456.9,60,
200030716,20.9,10,
241400902,270.3,76,
247600588,897.6,169,25.1
242700508,270.6,57,
246401632,2617.4,86,
200042190,2350.8,501,14.9
242101376,201.5,2,
247600760,752.1,120,
242504439,431.6,84,
246401822,1996.6,196,
248000689,480.9,55,
248100471,1545.2,11,
241400811,36.0,15,
200043255,2102.5,220,
200040202,46764.1,388,2062.6
246201073,420.7,67,
243301421,3818.3,104,
200042133,377.7,133,
245701297,1044.1,160,
200044055,3686.8,1190,
200042703,2947.6,109,250.8
242200640,645.4,106,
247200686,1887.6,231,66.5
245900410,6441.6,1955,5.5
200035178,1564.8,75,
242101335,334.5,82,
200030633,2234.6,247,35.1
242500379,181.3,55,
242200517,3176.8,403,
246201149,0.0,0,0.0
247600596,2275.7,409,9.9
200036077,3884.8,211,67.7
246300883,1961.3,97,
246200406,568.9,45,
248100158,5199.4,363,224.9
247600786,352.4,53,7.7
248300550,43978.7,30,978.0
200040954,4943.3,349,92.3
246301030,0.0,0,
247800618,382.3,119,7.5
240200485,211.8,40,
247600539,10568.1,73,549.2
246100465,361.4,45,
247700529,101.6,48,
247200397,679.9,105,
246200851,385.0,60,
247600646,345.1,93,13.8
241200674,3104.9,98,502.4
200042513,571.1,107,
247200678,352.1,66,
242700466,942.5,51,
246200844,525.9,163,18.7
242200715,2306.5,142,126.1
246100663,2258.8,410,40.7
240200444,812.1,90,31.3
246100440,376.8,35,
