codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
245501242,,21480,16.1,2.9,11990,34360,41.9,3014,7000,4776.7,66.1,56.4,2.9,6.8,28.1,11.9,6.3,2.3,1.2,2.8,-12.4
245501259,,22610,16.2,3.3,11710,38210,43.3,2828,6177,4309.9,62.9,55.1,2.1,5.7,24.8,20.7,4,1.1,0.8,2.1,-12.4
245600440,,24320,6.9,2.5,15060,37710,56.4,7944,18779,12778.6,69,60.5,2.7,5.8,33.1,8.7,3.4,1.7,0.5,1.2,-14.2
245600465,,23490,11.2,3.1,13280,41070,55.4,2769,5464,3992.5,56.5,45.1,3.7,7.7,44.9,11.6,3,1.2,0.5,1.3,-16
245614383,,22450,10.5,2.5,13650,34280,47.2,10566,24084,16545,67.8,57.9,3,6.9,33.6,7,4.6,2.1,0.7,1.8,-13
245614417,,20390,17.7,2.8,11450,32220,39.4,11800,24161,17351.4,58.1,47.5,2.9,7.7,39.7,7.9,6,2,0.9,3.1,-11.7
245614433,,22180,11.9,2.6,13190,34700,47.5,19651,42737,29920.5,67.1,58.2,2.3,6.6,32.5,8.8,5.3,2,0.9,2.4,-13.7
245700133,,22710,11.9,2.8,13100,36150,51.4,9976,22688,15670.9,71,63.6,2.6,4.8,31.2,6.9,4.7,1.8,0.8,2.1,-13.8
245700372,,20390,21.8,3.5,10670,36960,44,31814,71033,49312.6,68.6,61.1,3.4,4.1,31.7,6.4,7.4,2,1.6,3.8,-14.1
245700398,,19390,23.2,3.1,10530,32520,40.4,12892,28838,19977.9,61.2,54.1,3.6,3.5,36.9,5.2,8.7,2.6,1.9,4.2,-12
245700695,,33270,9.5,4.5,14200,63800,32.9,10644,25009,16960.5,38.4,34.4,1.9,2.1,12.9,55,1.1,0.4,0.2,0.5,-7.4
245700950,,23540,9.4,2.6,14070,36730,52.2,7190,16456,11352.9,72,65.9,2.1,4,27.7,11.4,3.6,1.5,0.6,1.5,-14.7
245701164,,20750,20.2,3.2,10920,34600,45.4,7694,16747,11731.7,60.2,53.4,3.3,3.5,35.7,10.2,6.8,2,1.4,3.4,-12.9
245701206,,22280,11.9,2.7,13200,35540,47.1,11704,26816,18441.9,71,61.5,2.3,7.2,29.9,7.4,5.1,2.1,0.8,2.2,-13.4
