CODGEO,revenu_median_2019
01169,23800.0
01170,23020.0
01171,23720.0
01173,33070.0
01174,25000.0
01175,21160.0
01177,22750.0
01179,23250.0
01180,49690.0
01181,23810.0
01183,24720.0
01184,22470.0
01185,21990.0
01187,23410.0
01188,22470.0
01189,27050.0
01191,24760.0
01192,22240.0
01193,22550.0
01194,22840.0
01195,24440.0
01196,21520.0
01197,24950.0
01198,23950.0
01199,22060.0
01200,22410.0
01202,22490.0
01203,23190.0
01204,25250.0
01206,23400.0
01207,27960.0
01208,23500.0
01209,30330.0
01210,21610.0
01211,23930.0
01212,21010.0
01213,23480.0
01214,24150.0
01215,22100.0
01216,22280.0
01219,19170.0
01224,22530.0
01225,25590.0
01227,23660.0
01228,25750.0
01229,23090.0
01230,20700.0
01231,23750.0
01232,22940.0
01233,23840.0
01234,23820.0
01235,22340.0
01236,21740.0
01237,22800.0
01238,27410.0
01239,23830.0
01240,23260.0
01241,24650.0
01242,18380.0
01243,25670.0
01244,23280.0
01245,24000.0
01246,22590.0
01247,28110.0
01248,28060.0
01249,24860.0
01250,26310.0
01252,24980.0
01254,25970.0
01255,21410.0
01257,26580.0
01258,25410.0
01259,23790.0
01260,26450.0
01261,27120.0
01262,22780.0
01263,24320.0
01264,24080.0
01265,19770.0
01266,21720.0
01267,23400.0
01268,23680.0
01269,17870.0
01272,22300.0
01273,21690.0
01274,20050.0
01275,29160.0
01276,26110.0
01277,23650.0
01280,21040.0
01281,36440.0
01282,24200.0
01283,17510.0
01284,21800.0
01285,28340.0
01286,25240.0
01288,39260.0
01289,23350.0
01290,26260.0
01291,23280.0
01293,24720.0
01294,22200.0
01295,23140.0
01296,22140.0
01297,26580.0
01298,30220.0
01299,23660.0
01301,23680.0
01302,26260.0
01303,21520.0
01304,21650.0
01305,19700.0
01306,20300.0
01307,21760.0
01308,36390.0
01310,23210.0
01313,41270.0
01314,23320.0
01317,23220.0
01318,27790.0
01319,23610.0
01320,23510.0
01321,25930.0
01322,27390.0
01323,22140.0
01325,25590.0
01328,24540.0
01329,18800.0
01330,23190.0
01331,22580.0
01332,23600.0
01333,25260.0
01334,23330.0
01335,22860.0
01336,22710.0
01337,22080.0
01338,21900.0
01339,31160.0
01342,27910.0
01343,22600.0
01344,24430.0
01345,22620.0
01346,22650.0
01347,27750.0
01348,22410.0
01349,25260.0
01350,23320.0
01351,22190.0
01352,21080.0
01353,26480.0
01354,29370.0
01355,22220.0
01356,25290.0
01357,20790.0
01358,22970.0
01359,24000.0
01360,38990.0
01361,27210.0
01362,27390.0
01363,23040.0
01364,22040.0
01365,23940.0
01366,24220.0
01367,20880.0
01368,22100.0
01369,25610.0
01370,18660.0
01371,24640.0
01372,24760.0
01373,23520.0
01374,24610.0
01375,23970.0
01376,22630.0
01378,26740.0
01379,22240.0
01380,20420.0
01381,22830.0
01382,25090.0
01383,21970.0
01384,18900.0
01385,25660.0
01386,25650.0
01387,22650.0
01388,20330.0
01389,23000.0
01390,23830.0
01391,22770.0
01392,25020.0
01393,25030.0
01396,20150.0
01397,40590.0
01398,24680.0
01399,40960.0
01400,21090.0
01401,41210.0
01402,21890.0
01403,21480.0
01404,24040.0
01405,21680.0
01406,21110.0
01407,22600.0
01408,22530.0
01410,25300.0
01411,23250.0
01412,23640.0
01415,21980.0
01416,19300.0
01418,29970.0
01419,36890.0
01420,18900.0
01421,22330.0
01422,24860.0
01423,26110.0
01424,30170.0
01425,24280.0
01426,22890.0
01427,22100.0
01428,23540.0
01429,23170.0
01430,22680.0
01431,23780.0
01432,22390.0
01433,19990.0
01434,24210.0
01435,38060.0
01436,38190.0
01437,19970.0
01441,22920.0
01443,23010.0
01444,21310.0
01445,21740.0
01446,24550.0
01447,21570.0
01448,30310.0
01449,25300.0
01450,25610.0
01451,24190.0
01452,19830.0
01453,22120.0
01454,21930.0
01457,20780.0
02001,20190.0
02002,19990.0
02003,22210.0
02004,19760.0
02005,23250.0
02006,22080.0
02007,22630.0
02008,20180.0
02009,21250.0
02010,21600.0
02011,22820.0
02013,21080.0
02014,21950.0
02016,20110.0
02017,21210.0
02018,19860.0
02019,19510.0
02020,19930.0
02022,20810.0
02023,21910.0
02025,22360.0
02027,18780.0
02028,21760.0
02029,23260.0
02030,19130.0
02031,17450.0
02032,18880.0
02033,22730.0
02034,20000.0
02035,17650.0
02037,21000.0
02039,19730.0
02040,19470.0
02041,22060.0
02042,22600.0
02046,21470.0
02047,22450.0
02048,19620.0
02049,22260.0
02050,19010.0
02051,25470.0
02052,20650.0
02053,25300.0
02054,21960.0
02056,20920.0
02057,18060.0
02058,19940.0
02059,16680.0
02060,21410.0
02061,18380.0
02062,24030.0
02063,20640.0
02064,19650.0
02065,19990.0
02066,21930.0
02067,21380.0
02069,17770.0
02070,19890.0
02071,22220.0
02072,23710.0
02073,21690.0
02074,20830.0
02075,23340.0
02076,25330.0
02077,23260.0
02078,19160.0
02079,18980.0
02080,26150.0
02081,22120.0
02082,23710.0
02083,22380.0
02084,22650.0
02085,22730.0
02086,21330.0
02089,21050.0
02090,21930.0
02093,19220.0
02094,24500.0
02095,15180.0
