CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
30180,12,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0
30181,13,1,0,5,3,0,0,1,0,0,0,0,0,2,0,0,0,1
30182,33,1,0,16,3,0,3,2,0,0,0,0,0,2,1,0,4,1
30183,17,1,1,7,0,0,2,0,1,0,0,0,0,1,0,0,3,1
30184,59,1,1,30,13,0,3,1,0,0,0,0,1,2,0,0,6,1
30185,43,1,1,27,5,0,2,2,0,0,0,0,0,1,0,0,3,1
30186,39,1,1,22,6,0,2,2,0,0,0,0,0,2,0,0,2,1
30187,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30188,28,1,1,12,4,0,0,2,0,0,0,0,0,1,0,0,7,0
30189,4604,10,71,1489,1217,36,454,736,19,1,24,69,42,112,66,1,237,20
30191,33,1,1,12,6,0,2,2,0,0,0,0,0,2,0,0,6,1
30192,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30193,23,1,0,11,3,0,0,2,0,0,0,0,1,1,0,0,3,1
30194,11,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0
30195,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30196,18,1,0,4,5,0,1,2,0,0,0,0,0,0,0,0,4,1
30197,7,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0
30198,18,1,1,5,3,0,1,0,0,0,0,0,2,0,0,0,4,1
30199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30200,27,1,1,10,4,0,1,2,0,0,0,0,2,0,2,0,3,1
30201,16,1,0,8,4,0,0,0,0,0,0,0,1,1,0,0,0,1
30202,286,2,6,78,79,5,27,41,2,0,1,6,4,9,7,1,15,3
30203,12,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0
30204,14,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,2,0
30205,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30206,87,2,1,38,20,0,7,2,0,0,0,1,2,2,1,0,10,1
