CODGEO,diversite_equip,dens_services,dens_commerces,dens_enseignement,dens_sante,dens_transports,dens_sport_culture,sup_services,sup_commerces,sup_enseignement,sup_sante,sup_transports,sup_sport_culture
15230,0,15.31,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15231,2,11.65,3.33,0.0,0.0,0.0,8.32,0,1,0,0,0,1
15232,2,22.52,0.0,0.0,0.0,0.0,4.5,1,0,0,0,0,1
15233,2,15.97,3.19,0.0,3.19,0.0,0.0,0,1,0,1,0,0
15234,0,11.9,0.0,0.0,0.0,0.0,2.98,0,0,0,0,0,0
15235,2,14.04,3.51,0.0,0.0,0.0,5.26,0,1,0,0,0,1
15236,4,20.0,5.0,0.0,3.33,0.0,6.67,1,1,0,1,0,1
15237,0,11.98,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15238,2,31.5,7.87,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15240,1,23.53,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15241,1,40.82,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15242,1,20.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15243,3,15.02,10.73,0.0,2.15,0.0,6.44,0,1,0,1,0,1
15244,3,12.96,8.64,0.0,2.16,0.0,10.8,0,1,0,1,0,1
15245,1,11.95,0.0,0.0,0.0,0.0,7.97,0,0,0,0,0,1
15246,2,16.81,4.2,0.0,0.0,0.0,8.4,0,1,0,0,0,1
15247,1,90.91,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15248,3,12.28,3.51,0.0,1.75,0.0,7.02,0,1,0,1,0,1
15249,1,33.33,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15250,0,13.65,1.95,0.0,0.0,0.0,3.9,0,0,0,0,0,0
15251,3,23.62,15.75,0.0,0.0,0.0,23.62,1,1,0,0,0,1
15252,3,19.85,0.0,0.0,2.48,0.0,7.44,1,0,0,1,0,1
15253,0,16.13,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15254,0,8.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15255,2,15.42,3.08,0.0,2.31,0.0,3.86,0,1,0,1,0,0
15256,1,16.67,0.0,0.0,0.0,0.0,16.67,0,0,0,0,0,1
15257,2,23.26,0.0,0.0,0.0,0.0,15.5,1,0,0,0,0,1
15258,5,15.38,7.96,0.53,3.71,0.53,6.37,0,1,1,1,1,1
15259,1,15.94,3.98,0.0,0.0,0.0,0.0,0,1,0,0,0,0
15260,3,57.14,19.05,0.0,0.0,0.0,9.52,1,1,0,0,0,1
15261,0,18.43,1.23,0.0,0.0,0.0,2.46,0,0,0,0,0,0
15262,2,9.04,0.0,0.0,3.62,0.0,5.42,0,0,0,1,0,1
15263,0,16.95,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15264,1,14.81,0.0,0.0,0.0,0.0,11.11,0,0,0,0,0,1
15265,4,16.63,7.39,0.62,2.46,0.0,6.77,0,1,1,1,0,1
