codgeo,libgeo,code_epci,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
29298,Tréogat,242900710,1,4,75,530,68.87,100.0
29299,Tréouergat,242900074,0,2,40,278,0.0,0.0
29300,Le Trévoux,242900694,1,9,151,1434,62.68,88.89
29301,Trézilidé,242900751,1,5,28,380,100.0,100.0
29302,Pont-de-Buis-lès-Quimerch,200066868,4,24,268,3382,86.3,95.83
2A001,Afa,242010056,3,23,121,2671,94.07,100.0
2A004,Ajaccio,242010056,43,347,469,48931,94.89,92.22
2A006,Alata,242010056,4,21,183,2984,70.78,85.71
2A008,Albitreccia,200038958,1,9,80,1148,63.83,88.89
2A011,Altagène,242000495,0,1,5,50,100.0,100.0
2A014,Ambiegna,200067049,0,2,3,38,0.0,0.0
2A017,Appietto,242010056,2,6,92,1294,78.79,33.33
2A018,Arbellara,242010130,0,3,14,142,0.0,0.0
2A019,Arbori,200067049,0,1,8,56,0.0,0.0
2A021,Argiusta-Moriccio,242010130,0,2,12,60,91.67,100.0
2A022,Arro,200067049,0,1,9,65,0.0,0.0
2A024,Aullène,242000495,1,3,14,120,97.49,100.0
2A026,Azilone-Ampaza,200038958,0,3,17,148,0.0,0.0
2A027,Azzana,200067049,0,2,13,37,0.0,0.0
2A028,Balogna,200067049,0,1,13,96,0.0,0.0
2A031,Bastelica,242000503,1,8,35,386,88.86,100.0
2A032,Bastelicaccia,242000503,4,23,152,3091,84.18,65.22
2A035,Belvédère-Campomoro,242010130,0,3,35,151,0.0,0.0
2A038,Bilia,242010130,0,1,6,35,0.0,0.0
2A040,Bocognano,242000503,1,6,41,393,100.0,100.0
2A041,Bonifacio,200040764,3,36,358,3019,54.75,80.56
