codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
70480,Sauvigney-lès-Pesmes,200036549,150,3,6.48,6.65
70558,La Villeneuve-Bellenoye-et-la-Maize,200041879,150,3,6.28,6.44
76011,Ancretteville-sur-Mer,200069821,150,1,2.8,2.87
77134,Courchamp,200037133,150,1,2.8,2.87
80090,Berny-en-Santerre,200070928,150,1,2.8,2.87
88365,Racécourt,200068369,150,2,6.4,6.56
01117,Conzieu,200040350,149,2,9.1,9.33
02076,Bertricourt,240200576,149,1,2.8,2.87
02655,Ronchères,200072031,149,2,5.08,5.21
06146,Tournefort,200030195,149,4,9.88,10.13
10176,Jaucourt,241000405,149,3,8.44,8.66
10374,Spoy,241000405,149,1,2.8,2.87
15080,Joursac,200066637,149,1,2.8,2.87
19040,Champagnac-la-Prune,241927201,149,3,6.48,6.65
21093,Bouix,242101434,149,2,5.08,5.21
21219,Curtil-Vergy,200070894,149,1,2.8,2.87
21280,Fontangy,200071017,149,1,2.8,2.87
24063,Bouzic,200041440,149,1,2.8,2.87
25181,Cubrial,200068294,149,1,2.8,2.87
27208,Duranville,200066017,149,1,2.8,2.87
2B083,Castirla,200073138,149,1,2.8,2.87
30094,Corbès,200066918,149,2,4.2,4.31
31251,Labastide-Paumès,200072643,149,2,7.24,7.42
31441,Prunet,200071298,149,3,6.28,6.44
31527,La Salvetat-Lauragais,200071298,149,2,4.0,4.1
33411,Saint-Germain-de-Grave,200043974,149,2,5.08,5.21
34093,Dio-et-Valquières,200042646,149,1,2.8,2.87
37103,Esves-le-Moutier,200071587,149,2,6.4,6.56
39400,Our,243900560,149,1,2.8,2.87
43083,Cubelles,200073393,149,1,2.8,2.87
46247,Saillac,244600532,149,1,2.8,2.87
47080,Dévillac,200036523,149,2,5.08,5.21
51120,Champlat-et-Boujacourt,200066850,149,1,2.8,2.87
52128,Cirey-lès-Mareilles,200069664,149,3,5.4,5.54
54203,Forcelles-Saint-Gorgon,200035772,149,4,9.88,10.13
