CODGEO,nb_assos,nb_environnement,nb_culture,nb_social,nb_sport,nb_sante,nb_auto,pop,densite_assos_1000hab,densite_environnement_1000hab,densite_culture_1000hab,densite_social_1000hab,densite_sport_1000hab
18052,21,2,4,2,0,2,0,1014.0,20.71,1.97,3.94,1.97,0.0
18053,4,0,0,0,1,0,0,289.0,13.84,0.0,0.0,0.0,3.46
18054,2,0,1,0,0,0,0,245.0,8.16,0.0,4.08,0.0,0.0
18055,19,0,5,1,5,0,1,912.0,20.83,0.0,5.48,1.1,5.48
18056,6,0,2,1,0,0,0,235.0,25.53,0.0,8.51,4.26,0.0
18057,36,0,1,2,5,0,0,1703.0,21.14,0.0,0.59,1.17,2.94
18058,20,1,2,1,1,0,0,1394.0,14.35,0.72,1.43,0.72,0.72
18060,1,0,1,1,0,0,0,47.0,21.28,0.0,21.28,21.28,0.0
18061,2,0,0,0,0,0,0,86.0,23.26,0.0,0.0,0.0,0.0
18063,3,0,0,0,0,0,0,154.0,19.48,0.0,0.0,0.0,0.0
18064,2,0,0,0,0,0,0,219.0,9.13,0.0,0.0,0.0,0.0
18065,8,0,0,0,3,1,0,782.0,10.23,0.0,0.0,0.0,3.84
18066,10,1,0,1,1,1,0,909.0,11.0,1.1,0.0,1.1,1.1
18067,6,0,0,0,0,0,0,706.0,8.5,0.0,0.0,0.0,0.0
18068,1,0,0,0,0,0,0,33.0,30.3,0.0,0.0,0.0,0.0
18069,3,0,0,0,2,0,1,412.0,7.28,0.0,0.0,0.0,4.85
18070,4,0,0,0,1,0,0,200.0,20.0,0.0,0.0,0.0,5.0
18072,4,0,1,0,1,0,0,240.0,16.67,0.0,4.17,0.0,4.17
18073,3,0,0,0,0,0,0,199.0,15.08,0.0,0.0,0.0,0.0
18075,11,0,2,0,5,0,1,1022.0,10.76,0.0,1.96,0.0,4.89
18076,6,0,1,0,1,0,0,444.0,13.51,0.0,2.25,0.0,2.25
18077,2,0,0,0,1,0,0,370.0,5.41,0.0,0.0,0.0,2.7
18079,11,0,3,2,2,0,0,430.0,25.58,0.0,6.98,4.65,4.65
18080,1,0,0,0,0,0,0,144.0,6.94,0.0,0.0,0.0,0.0
18081,3,0,1,0,3,0,0,395.0,7.59,0.0,2.53,0.0,7.59
18082,5,1,0,1,0,0,0,1019.0,4.91,0.98,0.0,0.98,0.0
18083,11,0,3,0,0,0,0,771.0,14.27,0.0,3.89,0.0,0.0
18084,2,0,0,0,0,0,0,200.0,10.0,0.0,0.0,0.0,0.0
18085,1,0,0,0,0,0,0,244.0,4.1,0.0,0.0,0.0,0.0
18086,10,1,0,1,2,0,0,549.0,18.21,1.82,0.0,1.82,3.64
18087,33,0,8,4,3,2,0,3572.0,9.24,0.0,2.24,1.12,0.84
18088,5,1,2,2,1,0,0,208.0,24.04,4.81,9.62,9.62,4.81
18089,7,0,1,1,0,0,0,438.0,15.98,0.0,2.28,2.28,0.0
18090,8,0,2,0,2,0,0,411.0,19.46,0.0,4.87,0.0,4.87
18091,7,0,2,1,0,0,0,254.0,27.56,0.0,7.87,3.94,0.0
18092,2,0,0,0,0,0,0,1004.0,1.99,0.0,0.0,0.0,0.0
18093,1,0,1,0,1,0,0,136.0,7.35,0.0,7.35,0.0,7.35
18094,4,0,0,0,1,0,0,329.0,12.16,0.0,0.0,0.0,3.04
18095,3,0,1,0,0,0,0,162.0,18.52,0.0,6.17,0.0,0.0
18096,16,1,4,1,4,0,1,2069.0,7.73,0.48,1.93,0.48,1.93
18097,20,0,3,1,1,2,1,1938.0,10.32,0.0,1.55,0.52,0.52
18098,1,0,0,0,0,0,0,125.0,8.0,0.0,0.0,0.0,0.0
18099,6,0,1,0,1,0,0,220.0,27.27,0.0,4.55,0.0,4.55
