codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
57125,,28040,,,,,,160,413,271.2,,,,,,,,,,,
57126,,23870,,,,,,145,345,233.6,,,,,,,,,,,
57127,,24430,,,,,,56,137,91.3,,,,,,,,,,,
57128,,25750,,,,,,88,237,155.6,,,,,,,,,,,
57129,,32350,,,,,,295,770,503.1,,,,,,,,,,,
57131,,27430,,,,,,117,303,198.6,,,,,,,,,,,
57132,,21410,14,2.8,12710,36080,44,971,2020,1430.8,68.8,60.1,2.3,6.4,30.8,7.3,7.1,2.2,1.5,3.4,-14
57133,,22230,,,,,,42,111,73.3,,,,,,,,,,,
57134,,27390,,,,,,795,1824,1258.1,,,,,,,,,,,
57136,,24580,,,,,,216,591,380.7,,,,,,,,,,,
57137,,25360,,,,,,309,841,535.7,,,,,,,,,,,
57139,,28260,,,,,,114,284,189.5,,,,,,,,,,,
57140,,28610,,,,,,210,543,357.2,,,,,,,,,,,
57142,,33320,,,,,,177,453,302.7,,,,,,,,,,,
57143,,21500,17,3.1,11410,35800,39,1737,3599,2566.2,56.1,50.1,3.2,2.8,29.7,19.2,6.2,1.7,1.5,3,-11.2
57144,,20980,17,2.9,11670,33260,44,1462,3264,2259.8,60.4,55.3,3.1,2,37.8,6.3,6.7,2.1,1.4,3.2,-11.2
57145,,27530,,,,,,131,326,221.4,,,,,,,,,,,
57146,,29150,,,,,,317,847,553,,,,,,,,,,,
57147,,29650,,,,,,136,347,230.5,,,,,,,,,,,
57148,,28910,,,,,,212,558,364,,,,,,,,,,,
57149,,22860,,,,,,91,196,138.7,,,,,,,,,,,
57150,,24850,,,,,,272,686,453.8,,,,,,,,,,,
57151,,21720,,,,,,68,155,108.5,,,,,,,,,,,
57152,,30340,,,,,,194,463,310.8,,,,,,,,,,,
57153,,27320,,2.9,15860,45760,62,931,2243,1522.1,74.8,66.6,2.1,6.1,25.2,15.1,2.7,1.2,0.4,1.1,-17.8
57154,,24290,,,,,,271,634,433.2,,,,,,,,,,,
57155,,25940,,2.6,15460,40560,61,1148,2872,1917.3,76.7,69.3,2.2,5.2,25.9,9.5,3,1.6,0.4,1,-15.1
57156,,26740,,,,,,517,1209,826.2,,,,,,,,,,,
57158,,24450,,,,,,94,247,160.9,,,,,,,,,,,
57159,,21460,13,2.7,13050,34840,48,1595,3506,2458.9,67.8,61,3.1,3.7,33.4,6.3,5.4,1.8,0.9,2.7,-12.9
57160,,19470,24,3.2,10140,32770,42,5638,12052,8491.5,59.8,52.8,3.6,3.4,37.5,6.6,8.3,2.3,1.7,4.3,-12.2
57161,,24010,,,,,,45,101,70.1,,,,,,,,,,,
57162,,29170,,,,,,409,1005,667.1,,,,,,,,,,,
57163,,23020,11,2.6,13580,35120,47,1148,2430,1732.5,63.9,58.5,1.8,3.6,34.9,12.2,2.9,1.1,0.4,1.4,-13.9
57165,,25180,,,,,,286,681,460.7,,,,,,,,,,,
57167,,25350,,,,,,136,387,246.5,,,,,,,,,,,
57168,,24630,,,,,,279,694,463.4,,,,,,,,,,,
57169,,24550,,,,,,210,512,345.3,,,,,,,,,,,
57171,,24840,,,,,,422,1045,697.9,,,,,,,,,,,
57172,,24660,,,,,,110,248,172.1,,,,,,,,,,,
57173,,25170,,,,,,44,101,69.8,,,,,,,,,,,
